(15671, 4.24, 666.8, 2827.232)
(15752, 4.2, 670.4, 2815.68)
(15834, 4.26, 619.2, 2637.792)
(15915, 4.28, 690.0, 2953.2000000000003)
(15996, 4.284, 664.4, 2846.2895999999996)
(16077, 4.204, 681.2, 2863.7648)
(16159, 4.268, 682.4, 2912.4831999999997)
(16240, 4.232, 682.4, 2887.9168)
(16321, 4.232, 650.8, 2754.1856)
(16403, 4.244, 614.8, 2609.2111999999997)
(16484, 4.268, 552.0, 2355.9359999999997)
(16565, 4.232, 453.2, 1917.9424000000001)
(16647, 4.336, 446.4, 1935.5904)
(16728, 4.28, 444.0, 1900.3200000000002)
(16809, 4.268, 443.6, 1893.2848)
(16891, 4.22, 459.2, 1937.8239999999998)
(16972, 4.272, 467.2, 1995.8784)
(17053, 4.32, 413.2, 1785.0240000000001)
(17135, 4.228, 403.6, 1706.4208)
(17216, 4.28, 501.6, 2146.8480000000004)
(17297, 4.276, 479.6, 2050.7696)
(17378, 4.304, 497.2, 2139.9488)
(17460, 4.212, 500.4, 2107.6848)
(17541, 4.304, 509.6, 2193.3184)
(17622, 4.22, 505.6, 2133.632)
(17704, 4.3, 525.2, 2258.36)
(17785, 4.3, 509.2, 2189.56)
(17866, 4.24, 517.6, 2194.6240000000003)
(17948, 4.236, 415.6, 1760.4816)
(18029, 4.304, 411.6, 1771.5264000000002)
(18110, 4.288, 415.6, 1782.0928000000001)
(18192, 4.232, 407.6, 1724.9632000000001)
(18273, 4.3, 404.4, 1738.9199999999998)
(18354, 4.288, 428.4, 1836.9792)
(18436, 4.328, 493.6, 2136.3008000000004)
(18517, 4.228, 508.0, 2147.824)
(18598, 4.292, 482.0, 2068.7439999999997)
(18679, 4.232, 498.4, 2109.2288)
(18761, 4.256, 494.8, 2105.8688)
(18842, 4.28, 492.4, 2107.472)
(18923, 4.28, 490.4, 2098.912)
(19005, 4.232, 488.8, 2068.6016)
(19086, 4.332, 489.2, 2119.2144)
(19167, 4.288, 494.0, 2118.272)
(19249, 4.236, 569.2, 2411.1312000000003)
(19330, 4.272, 488.8, 2088.1536)
(19411, 4.268, 478.4, 2041.8111999999999)
(19493, 4.288, 492.8, 2113.1264)
(19574, 4.216, 482.0, 2032.112)
(19655, 4.292, 496.4, 2130.5488)
(19737, 4.256, 513.2, 2184.1792000000005)
(19818, 4.328, 555.6, 2404.6368)
(19899, 4.24, 503.2, 2133.568)
(19980, 4.304, 483.6, 2081.4144)
(20062, 4.204, 451.2, 1896.8447999999999)
(20143, 4.288, 462.0, 1981.056)
(20224, 4.32, 457.6, 1976.8320000000003)
(20306, 4.268, 461.6, 1970.1088)
(20387, 4.288, 449.6, 1927.8848000000003)
(20468, 4.34, 478.0, 2074.52)
(20550, 4.292, 593.6, 2547.7312)
(20631, 4.188, 676.0, 2831.0879999999997)
(20712, 4.3, 555.6, 2389.08)
(20794, 4.24, 493.6, 2092.864)
(20875, 4.316, 472.4, 2038.8783999999998)
(20956, 4.224, 454.4, 1919.3856)
(21038, 4.28, 616.8, 2639.904)
(21119, 4.2, 624.8, 2624.16)
(21200, 4.288, 519.2, 2226.3296000000005)
(21281, 4.256, 519.6, 2211.4176)
(21363, 4.276, 532.8, 2278.2527999999998)
(21444, 4.188, 520.8, 2181.1103999999996)
(21525, 4.288, 536.8, 2301.7984)
(21607, 4.324, 506.0, 2187.944)
(21688, 4.236, 509.2, 2156.9712)
(21769, 4.296, 430.4, 1848.9984)
(21851, 4.3, 481.6, 2070.88)
(21932, 4.268, 476.8, 2034.9823999999999)
(22013, 4.224, 472.4, 1995.4176)
(22095, 4.308, 474.4, 2043.7151999999999)
(22176, 4.248, 485.6, 2062.8288000000002)
(22257, 4.328, 477.2, 2065.3216)
(22339, 4.256, 490.8, 2088.8448000000003)
(22420, 4.288, 483.6, 2073.6768)
(22501, 4.236, 462.4, 1958.7263999999998)
(22582, 4.276, 464.8, 1987.4848)
(22664, 4.304, 461.6, 1986.7264000000002)
(22745, 4.256, 430.4, 1831.7824)
(22826, 4.276, 408.4, 1746.3183999999999)
(22908, 4.328, 435.2, 1883.5456000000001)
(22989, 4.296, 442.8, 1902.2688)
(23070, 4.204, 450.4, 1893.4815999999998)
(23152, 4.324, 432.0, 1867.9679999999998)
(23233, 4.272, 441.2, 1884.8064000000002)
(23314, 4.276, 606.8, 2594.6767999999997)
(23396, 4.22, 650.4, 2744.6879999999996)
(23477, 4.252, 654.8, 2784.2095999999997)
(23558, 4.192, 565.2, 2369.3184)
(23640, 4.304, 619.6, 2666.7584)
(23721, 4.248, 649.6, 2759.5008000000003)
(23802, 4.24, 627.2, 2659.3280000000004)
(23883, 4.188, 655.2, 2743.9776)
(23965, 4.244, 656.0, 2784.064)
(24046, 4.268, 642.0, 2740.056)
(24127, 4.18, 654.0, 2733.72)
(24209, 4.264, 537.2, 2290.6208)
(24290, 4.276, 476.8, 2038.7967999999998)
(24371, 4.284, 470.8, 2016.9071999999999)
(24453, 4.216, 442.8, 1866.8448)
(24534, 4.32, 464.4, 2006.208)
(24615, 4.236, 458.8, 1943.4768)
(24697, 4.316, 460.8, 1988.8128)
(24778, 4.304, 406.8, 1750.8672000000001)
(24859, 4.252, 403.2, 1714.4063999999998)
(24941, 4.228, 502.0, 2122.4559999999997)
(25022, 4.304, 514.0, 2212.2560000000003)
(25103, 4.268, 477.6, 2038.3968)
(25184, 4.236, 512.0, 2168.832)
(25266, 4.28, 498.4, 2133.152)
(25347, 4.296, 498.0, 2139.4080000000004)
(25428, 4.324, 504.8, 2182.7552)
(25510, 4.216, 544.0, 2293.504)
(25591, 4.288, 519.2, 2226.3296000000005)
(25672, 4.248, 456.0, 1937.0880000000002)
(25754, 4.26, 427.2, 1819.8719999999998)
(25835, 4.304, 413.6, 1780.1344000000001)
(25916, 4.308, 412.0, 1774.896)
(25998, 4.244, 411.2, 1745.1327999999999)
(26079, 4.344, 461.2, 2003.4528)
(26160, 4.288, 449.6, 1927.8848000000003)
(26242, 4.26, 513.6, 2187.936)
(26323, 4.248, 468.0, 1988.064)
(26404, 4.284, 503.6, 2157.4224)
(26485, 4.292, 493.6, 2118.5312)
(26567, 4.204, 492.0, 2068.368)
(26648, 4.264, 490.0, 2089.36)
(26729, 4.268, 492.8, 2103.2704)
(26811, 4.304, 486.4, 2093.4656)
(26892, 4.228, 478.0, 2020.984)
(26973, 4.308, 473.2, 2038.5456)
(27055, 4.232, 487.2, 2061.8304)
(27136, 4.284, 458.8, 1965.4992)
(27217, 4.3, 450.8, 1938.44)
(27299, 4.288, 477.2, 2046.2336)
(27380, 4.264, 452.4, 1929.0336)
(27461, 4.332, 500.8, 2169.4656)
(27543, 4.276, 518.4, 2216.6784)
(27624, 4.22, 552.4, 2331.1279999999997)
(27705, 4.328, 437.6, 1893.9328000000003)
(27786, 4.264, 460.0, 1961.44)
(27868, 4.304, 463.2, 1993.6128)
(27949, 4.236, 464.0, 1965.504)
(28030, 4.28, 452.0, 1934.5600000000002)
(28112, 4.24, 462.0, 1958.88)
(28193, 4.284, 474.8, 2034.0432)
(28274, 4.248, 535.2, 2273.5296000000003)
(28356, 4.252, 684.0, 2908.368)
(28437, 4.2, 562.4, 2362.08)
(28518, 4.296, 490.0, 2105.04)
(28600, 4.336, 476.0, 2063.936)
(28681, 4.248, 464.0, 1971.0720000000001)
(28762, 4.284, 582.8, 2496.7151999999996)
(28844, 4.272, 630.8, 2694.7776)
(28925, 4.252, 562.4, 2391.3248)
(29006, 4.216, 527.2, 2222.6752)
(29087, 4.312, 523.6, 2257.7632000000003)
(29169, 4.248, 519.6, 2207.2608)
(29250, 4.32, 517.6, 2236.032)
(29331, 4.248, 524.4, 2227.6512000000002)
(29413, 4.276, 516.4, 2208.1263999999996)
(29494, 4.212, 444.8, 1873.4976)
(29575, 4.28, 462.8, 1980.784)
(29657, 4.304, 446.8, 1923.0272000000002)
(29738, 4.268, 455.2, 1942.7936)
(29819, 4.244, 461.2, 1957.3328)
(29901, 4.32, 478.8, 2068.416)
(29982, 4.308, 452.4, 1948.9391999999998)
(30063, 4.212, 473.6, 1994.8032)
(30145, 4.308, 475.6, 2048.8848)
(30226, 4.296, 476.4, 2046.6144)
(30307, 4.284, 460.8, 1974.0672)
(30388, 4.252, 447.2, 1901.4943999999998)
(30470, 4.268, 425.2, 1814.7535999999998)
(30551, 4.232, 413.2, 1748.6624)
(30632, 4.336, 430.8, 1867.9488000000001)
(30714, 4.264, 432.0, 1842.048)
(30795, 4.272, 454.8, 1942.9056)
(30876, 4.192, 436.0, 1827.712)
(30958, 4.284, 435.2, 1864.3967999999998)
(31039, 4.316, 575.6, 2484.2896)
(31120, 4.204, 662.4, 2784.7295999999997)
(31202, 4.248, 577.2, 2451.9456000000005)
(31283, 4.272, 566.4, 2419.6608)
(31364, 4.268, 610.0, 2603.48)
(31446, 4.176, 654.0, 2731.1040000000003)
(31527, 4.272, 650.4, 2778.5088)
(31608, 4.216, 662.0, 2790.992)
(31689, 4.268, 661.2, 2822.0016)
(31771, 4.256, 643.2, 2737.4592000000002)
(31852, 4.236, 645.2, 2733.0672)
(31933, 4.208, 517.2, 2176.3776000000003)
(32015, 4.296, 466.8, 2005.3728)
(32096, 4.26, 463.6, 1974.936)
(32177, 4.252, 443.6, 1886.1872)
(32259, 4.244, 440.0, 1867.36)
(32340, 4.3, 454.0, 1952.1999999999998)
(32421, 4.304, 448.8, 1931.6352000000002)
(32503, 4.208, 430.0, 1809.44)
(32584, 4.312, 392.0, 1690.304)
(32665, 4.272, 445.6, 1903.6032000000002)
(32747, 4.264, 513.6, 2189.9904)
(32828, 4.244, 489.2, 2076.1648)
(32909, 4.344, 483.2, 2099.0208000000002)
(32990, 4.208, 484.4, 2038.3552)
(33072, 4.32, 495.6, 2140.992)
(33153, 4.308, 489.6, 2109.1968)
(33234, 4.26, 511.2, 2177.712)
(33316, 4.252, 538.4, 2289.2767999999996)
(33397, 4.276, 519.2, 2220.0992)
(33478, 4.288, 477.6, 2047.9488000000001)
(33560, 4.228, 420.8, 1779.1424)
(33641, 4.308, 412.4, 1776.6191999999999)
(33722, 4.288, 408.8, 1752.9344)
(33804, 4.348, 425.2, 1848.7695999999999)
(33885, 4.2, 420.8, 1767.3600000000001)
(33966, 4.324, 489.6, 2117.0304)
(34048, 4.216, 508.4, 2143.4144)
(34129, 4.268, 503.6, 2149.3648)
(34210, 4.292, 471.2, 2022.3903999999998)
(34291, 4.288, 504.0, 2161.152)
(34373, 4.224, 500.4, 2113.6896)
(34454, 4.324, 522.0, 2257.1279999999997)
(34535, 4.272, 502.4, 2146.2528)
(34617, 4.232, 504.0, 2132.928)
(34698, 4.332, 521.6, 2259.5712)
(34779, 4.256, 468.0, 1991.808)
(34861, 4.312, 442.8, 1909.3536000000001)
(34942, 4.224, 432.0, 1824.768)
(35023, 4.284, 451.6, 1934.6544000000001)
(35105, 4.256, 432.8, 1841.9968000000001)
(35186, 4.284, 448.4, 1920.9455999999998)
(35267, 4.244, 481.6, 2043.9104)
(35349, 4.32, 533.6, 2305.152)
(35430, 4.2, 471.2, 1979.04)
(35511, 4.304, 458.8, 1974.6752000000001)
(35592, 4.336, 466.4, 2022.3104)
(35674, 4.252, 473.2, 2012.0464)
(35755, 4.26, 468.8, 1997.088)
(35836, 4.288, 488.0, 2092.5440000000003)
(35918, 4.272, 472.0, 2016.384)
(35999, 4.208, 483.2, 2033.3056000000001)
(36080, 4.328, 594.8, 2574.2943999999998)
(36162, 4.244, 578.4, 2454.7295999999997)
(36243, 4.324, 491.2, 2123.9487999999997)
(36324, 4.24, 482.0, 2043.68)
(36406, 4.284, 473.6, 2028.9024)
(36487, 4.208, 534.4, 2248.7552)
(36568, 4.252, 611.2, 2598.8224)
